symbol,timeframe,sample,variant,start,end,final_equity,total_return_pct,max_drawdown_pct,trade_count,profit_factor,expectancy,win_rate_pct,avg_win,avg_loss,exposure_time_pct,sharpe_simplified,avg_trade_duration_bars,exit_breakdown,side_breakdown
BTCUSDT,4h,full,long_only,2024-01-01 00:00:00+00:00,2026-04-30 20:00:00+00:00,10057.741113596307,0.5774111359630574,0.9560061980166568,6.0,1.5822766360552116,10.71979710124327,33.33333333333333,87.38982528027091,-27.61521698827055,0.9792401096748923,0.46640161836005023,8.333333333333334,"{""stop_loss"": {""count"": 4.0, ""mean"": -27.61521698827055, ""sum"": -110.4608679530822}, ""take_profit"": {""count"": 2.0, ""mean"": 87.38982528027091, ""sum"": 174.77965056054182}}","{""long"": {""count"": 6.0, ""mean"": 10.719797101243268, ""sum"": 64.31878260745961}}"
BTCUSDT,4h,full,short_only,2024-01-01 00:00:00+00:00,2026-04-30 20:00:00+00:00,10047.204476124638,0.47204476124638184,1.6691359772198489,9.0,1.238709375386932,5.676497826395998,33.33333333333333,88.36935372382375,-35.66993012231787,1.155503329416373,0.2828428309983392,6.555555555555555,"{""stop_loss"": {""count"": 6.0, ""mean"": -35.66993012231787, ""sum"": -214.01958073390722}, ""take_profit"": {""count"": 3.0, ""mean"": 88.36935372382375, ""sum"": 265.10806117147126}}","{""short"": {""count"": 9.0, ""mean"": 5.6764978263960035, ""sum"": 51.08848043756403}}"
BTCUSDT,4h,in_sample,both,2024-01-01 00:00:00+00:00,2025-06-30 20:00:00+00:00,10181.010727187771,1.8101072718777145,1.146837544071666,11.0,2.1221386831915043,17.02025269385065,36.36363636363637,88.51684488374823,-23.834942843233687,2.4070688604509445,0.9696869039355825,7.181818181818182,"{""stop_loss"": {""count"": 7.0, ""mean"": -23.834942843233684, ""sum"": -166.8445999026358}, ""take_profit"": {""count"": 4.0, ""mean"": 88.51684488374823, ""sum"": 354.06737953499294}}","{""long"": {""count"": 4.0, ""mean"": 7.807450519384041, ""sum"": 31.229802077536164}, ""short"": {""count"": 7.0, ""mean"": 22.28471107926014, ""sum"": 155.99297755482098}}"
BTCUSDT,4h,in_sample,long_only,2024-01-01 00:00:00+00:00,2025-06-30 20:00:00+00:00,10027.397783951268,0.2739778395126846,0.647471864958804,4.0,1.5436713371402053,7.7153162778410795,25.0,87.62582671893281,-18.921520535856164,0.700792199878123,0.3004877766249005,5.75,"{""stop_loss"": {""count"": 3.0, ""mean"": -18.921520535856164, ""sum"": -56.76456160756849}, ""take_profit"": {""count"": 1.0, ""mean"": 87.62582671893281, ""sum"": 87.62582671893281}}","{""long"": {""count"": 4.0, ""mean"": 7.715316277841083, ""sum"": 30.861265111364332}}"
BTCUSDT,4h,in_sample,short_only,2024-01-01 00:00:00+00:00,2025-06-30 20:00:00+00:00,10153.193227740872,1.5319322774087318,0.767486226876557,7.0,2.427429906259335,22.270654826606695,42.857142857142854,88.36935372382375,-27.303369346306095,1.7062766605728215,0.9447858643570148,8.0,"{""stop_loss"": {""count"": 4.0, ""mean"": -27.303369346306095, ""sum"": -109.21347738522438}, ""take_profit"": {""count"": 3.0, ""mean"": 88.36935372382375, ""sum"": 265.10806117147126}}","{""short"": {""count"": 7.0, ""mean"": 22.270654826606695, ""sum"": 155.89458378624687}}"
BTCUSDT,4h,out_of_sample,both,2025-07-01 00:00:00+00:00,2026-04-30 20:00:00+00:00,9925.554961433649,-0.7444503856635087,1.5817270417126328,4.0,0.5532975130169718,-17.5427576408606,25.0,86.91569406477407,-52.36224154273882,1.644736842105263,-0.733596670214984,7.5,"{""stop_loss"": {""count"": 3.0, ""mean"": -52.36224154273882, ""sum"": -157.08672462821647}, ""take_profit"": {""count"": 1.0, ""mean"": 86.91569406477407, ""sum"": 86.91569406477407}}","{""long"": {""count"": 2.0, ""mean"": 16.68305086784971, ""sum"": 33.36610173569942}, ""short"": {""count"": 2.0, ""mean"": -51.7685661495709, ""sum"": -103.5371322991418}}"
BTCUSDT,4h,out_of_sample,long_only,2025-07-01 00:00:00+00:00,2026-04-30 20:00:00+00:00,10030.260422734904,0.3026042273490459,0.5435049261119707,2.0,1.6230878758265233,16.68305086784971,50.0,86.91569406477407,-53.549592329074656,1.4802631578947367,0.3626960434231321,13.5,"{""stop_loss"": {""count"": 1.0, ""mean"": -53.549592329074656, ""sum"": -53.549592329074656}, ""take_profit"": {""count"": 1.0, ""mean"": 86.91569406477407, ""sum"": 86.91569406477407}}","{""long"": {""count"": 2.0, ""mean"": 16.68305086784971, ""sum"": 33.36610173569942}}"
BTCUSDT,4h,out_of_sample,short_only,2025-07-01 00:00:00+00:00,2026-04-30 20:00:00+00:00,9895.610425962694,-1.0438957403730686,1.0438957403730686,2.0,0.0,-51.612384891054916,0.0,0.0,-51.612384891054916,0.1644736842105263,-1.8739525565199162,1.5,"{""stop_loss"": {""count"": 2.0, ""mean"": -51.612384891054916, ""sum"": -103.22476978210983}}","{""short"": {""count"": 2.0, ""mean"": -51.612384891054916, ""sum"": -103.22476978210983}}"
BTCUSDT,30m,full,both,2024-01-01 00:00:00+00:00,2026-04-30 23:30:00+00:00,8872.911762182608,-11.27088237817392,12.025822998537617,97.0,0.6698849394158718,-9.452046204934582,26.804123711340207,71.55814896898708,-39.11775147989181,2.5411280846063455,-2.035706488361157,10.70103092783505,"{""stop_loss"": {""count"": 63.0, ""mean"": -38.18950168369242, ""sum"": -2405.9386060726224}, ""take_profit"": {""count"": 24.0, ""mean"": 76.60214264425427, ""sum"": 1838.4514234621024}, ""trend_invalid"": {""count"": 10.0, ""mean"": -34.93612992681346, ""sum"": -349.3612992681346}}","{""long"": {""count"": 43.0, ""mean"": -9.453496052413229, ""sum"": -406.5003302537688}, ""short"": {""count"": 54.0, ""mean"": -9.450891696757145, ""sum"": -510.3481516248858}}"
BTCUSDT,30m,full,long_only,2024-01-01 00:00:00+00:00,2026-04-30 23:30:00+00:00,9500.728896969968,-4.992711030300323,8.748391412737433,43.0,0.6834687398372215,-9.080938970452674,27.906976744186046,70.26192036392042,-39.794303874080974,1.3611437524481003,-1.2513735206961085,12.930232558139535,"{""stop_loss"": {""count"": 26.0, ""mean"": -39.79666853854803, ""sum"": -1034.7133820022489}, ""take_profit"": {""count"": 11.0, ""mean"": 76.31317210665178, ""sum"": 839.4448931731695}, ""trend_invalid"": {""count"": 6.0, ""mean"": -32.53531448339762, ""sum"": -195.21188690038574}}","{""long"": {""count"": 43.0, ""mean"": -9.08093897045268, ""sum"": -390.48037572946527}}"
