timestamp,funding_rate,mark_price
2025-07-07 08:00:00.007000+00:00,0.00003438,109016.30000000
2025-07-07 16:00:00+00:00,0.00004271,108252.00000000
2025-07-08 00:00:00.010000+00:00,0.00001073,108208.86520652
2025-07-08 08:00:00.003000+00:00,0.00004563,108440.60000000
2025-07-08 16:00:00+00:00,0.00003601,108216.90000000
2025-07-09 00:00:00.002000+00:00,0.00003093,108873.10000000
2025-07-09 08:00:00.006000+00:00,0.00003396,108674.80000000
2025-07-09 16:00:00.001000+00:00,0.00004253,109020.00000000
2025-07-10 00:00:00.003000+00:00,0.00010000,111199.80000000
2025-07-10 08:00:00+00:00,0.00008523,111186.10000000
2025-07-10 16:00:00.004000+00:00,0.00001908,111349.50000000
2025-07-11 00:00:00.004000+00:00,0.00010000,115979.20000000
2025-07-11 08:00:00.007000+00:00,0.00010000,117522.80000000
2025-07-11 16:00:00.001000+00:00,0.00010000,116897.42130435
2025-07-12 00:00:00+00:00,0.00010000,117501.26688406
2025-07-12 08:00:00.001000+00:00,0.00010000,117689.70000000
2025-07-12 16:00:00.002000+00:00,0.00010000,117075.50000000
2025-07-13 00:00:00.006000+00:00,0.00010000,117389.40000000
2025-07-13 08:00:00.001000+00:00,0.00010000,117957.51349275
2025-07-13 16:00:00.003000+00:00,0.00010000,118611.53782971
2025-07-14 00:00:00+00:00,0.00008051,119041.56046377
2025-07-14 08:00:00+00:00,0.00010000,122717.44717391
2025-07-14 16:00:00+00:00,0.00010000,119867.57057971
2025-07-15 00:00:00.002000+00:00,0.00010000,119818.52750362
2025-07-15 08:00:00+00:00,0.00010000,116780.52426812
2025-07-15 16:00:00+00:00,0.00010000,116389.57304348
2025-07-16 00:00:00+00:00,0.00010000,117738.50000000
2025-07-16 08:00:00+00:00,0.00010000,118184.09413043
2025-07-16 16:00:00.008000+00:00,0.00010000,119054.30000000
2025-07-17 00:00:00.003000+00:00,0.00010000,118598.08606159
2025-07-17 08:00:00+00:00,0.00010000,118289.10000000
2025-07-17 16:00:00+00:00,0.00010000,118874.61847826
2025-07-18 00:00:00.004000+00:00,0.00010000,119176.60000000
2025-07-18 08:00:00+00:00,0.00010000,119356.50000000
2025-07-18 16:00:00+00:00,0.00010000,117851.82027174
2025-07-19 00:00:00.009000+00:00,0.00010000,117897.67534058
2025-07-19 08:00:00+00:00,0.00010000,118135.00000000
2025-07-19 16:00:00.002000+00:00,0.00010000,118036.56383986
2025-07-20 00:00:00+00:00,0.00010000,117814.40000000
