symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,notional,margin_used,leverage,gross_pnl,fees,last_bar_funding_pnl,net_pnl,r_multiple,bars_held,exit_reason
BTCUSDT,short,2025-05-20 10:35:00+00:00,2025-05-20 10:36:00+00:00,105026.98245000001,105107.47185863079,0.0065216773929636495,684.952097095355,342.4760485476775,2,-0.5249259566403442,0.5481716480589403,0.0,-1.0730976046992846,-3.3603131525130117,1,stop_loss
BTCUSDT,short,2025-05-20 11:19:00+00:00,2025-05-20 11:20:00+00:00,104855.53390000001,104928.76749235194,0.006519493947775489,683.6050186518177,341.80250932590883,2,-0.47744596211224966,0.547074993306299,0.0,-1.0245209554185486,-3.762709440180994,1,stop_loss
BTCUSDT,short,2025-05-20 12:21:00+00:00,2025-05-20 12:22:00+00:00,104864.03135,104847.48066454017,0.006506588073193873,682.3070556889384,341.1535278444692,2,0.1076884926161471,0.5458025691541042,0.0,-0.43811407653795714,-1.6951969585565603,1,take_profit
BTCUSDT,short,2025-05-20 13:08:00+00:00,2025-05-20 13:12:00+00:00,104580.41646000001,104654.6264516418,0.006517434543309761,681.5960187901247,340.79800939506237,2,-0.4836587629849552,0.5454702785372938,0.0,-1.029129041522249,-3.6873627677788257,4,stop_loss
BTCUSDT,short,2025-05-20 13:32:00+00:00,2025-05-20 13:33:00+00:00,104473.94841000001,104572.73489282593,0.006511616165508781,680.2942513410865,340.14712567054323,2,-0.6432596585030093,0.5444927049362704,0.0,-1.1877523634392797,-2.705341775140038,1,stop_loss
BTCUSDT,short,2025-05-21 02:04:00+00:00,2025-05-21 02:05:00+00:00,106230.42131,106344.01219444156,0.006390206994436618,678.8343812771108,339.4171906385554,2,-0.7258692642626567,0.5433578527273937,0.0,-1.2692271169900504,-2.4311792695723864,1,stop_loss
BTCUSDT,short,2025-05-21 08:00:00+00:00,2025-05-21 08:01:00+00:00,106431.76089,106585.69838957585,0.006363641968750385,677.2936204076099,338.64681020380493,2,-0.979603132865315,0.542226737579234,0.0,-1.5218298704445492,-1.9606606360752399,1,stop_loss
BTCUSDT,short,2025-05-21 08:19:00+00:00,2025-05-21 08:25:00+00:00,106390.27334,106422.190422002,0.006349272841232859,675.5008730890023,337.75043654450116,2,-0.20265026192665972,0.5404817585759725,0.0,-0.7431320205026323,-1.358028602631922,6,stop_loss
BTCUSDT,short,2025-05-21 09:42:00+00:00,2025-05-21 09:45:00+00:00,106089.76352000001,106180.38067680744,0.00635770613808664,674.4875407192641,337.24377035963204,2,-0.5761172540505897,0.5398204794770315,0.0,-1.115937733527621,-2.6891333409053657,3,stop_loss
BTCUSDT,short,2025-05-21 17:45:00+00:00,2025-05-21 17:46:00+00:00,106422.86356000001,106838.65283476653,0.004385059014481904,466.67053720075575,233.33526860037787,2,-1.82326050743981,0.37406573396358056,0.0,-2.197326241403391,-1.3057913173830753,1,stop_loss
BTCUSDT,short,2025-05-22 06:50:00+00:00,2025-05-22 06:57:00+00:00,110619.40422000001,110521.70487003133,0.006063292586346248,670.717813513165,335.3589067565825,2,0.5923797443559425,0.5363372989127896,0.0,0.056042445443152955,0.08535621160745595,7,take_profit
BTCUSDT,short,2025-05-22 08:32:00+00:00,2025-05-22 08:33:00+00:00,110493.34205,110640.79364940122,0.006068289332128159,670.5055688332028,335.2527844166014,2,-0.8947789676516468,0.536762366653623,0.0,-1.4315413343052699,-2.0644671899382314,1,stop_loss
BTCUSDT,short,2025-05-22 08:50:00+00:00,2025-05-22 08:53:00+00:00,110391.97247000001,110459.8310921532,0.006058464309559449,668.8058252713643,334.4029126356821,2,-0.41111904041096814,0.5352091078332558,0.0,-0.9463281482442238,-1.595161014189925,3,stop_loss
BTCUSDT,short,2025-05-22 09:01:00+00:00,2025-05-22 09:03:00+00:00,110267.50982,110375.44846674384,0.0060542944688130205,667.5919747930114,333.7959873965057,2,-0.6534923519523371,0.5343349767751902,0.0,-1.1878273287275272,-2.1219733417242326,2,stop_loss
BTCUSDT,short,2025-05-22 11:29:00+00:00,2025-05-22 11:34:00+00:00,110460.15201,110574.52220928151,0.006030564855768631,666.1371106743667,333.06855533718334,2,-0.6897169043342929,0.5331855753012271,0.0,-1.22290247963552,-2.4971011478126743,5,stop_loss
